COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2022,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2023,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2004,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2005,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2006,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2007,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2008,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2009,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2010,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2011,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2012,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2013,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2014,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2015,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2016,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2017,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2018,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2019,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2020,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2021,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2022,
Argentina,"Loan accounts, Deposit taking microfinance institutions",Number,2023,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2004,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2005,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2006,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2007,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2008,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2009,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2010,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2011,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2012,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2013,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2014,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2015,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2016,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2017,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2018,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2019,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2020,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2021,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2022,
Argentina,"Loan accounts, Non-deposit taking microfinance institutions",Number,2023,
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2004,2.520234210448301
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2004,0.2590720907373506
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2005,2.871136555356196
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2005,0.2992666323186039
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2006,3.906296452087234
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2006,0.4129075635165108
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2007,6.645643610125015
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2007,0.7121741958351147
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2008,12.4952839972881
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2008,1.357479290675963
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2009,17.27108154915797
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2009,1.902663436487143
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2010,23.80120432313483
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2010,2.637858142500612
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2011,33.45447786317687
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2011,3.76184368708184
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2012,42.65367516691495
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2012,4.863539531331645
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2013,52.7666527654513
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2013,6.098242767723052
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2014,55.94306357183902
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2014,6.551344872820816
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2015,57.67304894745916
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2015,6.841841786976238
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2016,60.55516638314415
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2016,7.274846621283375
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2017,63.5773752845897
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2017,7.734891419926992
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2018,69.60593989661392
